timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1752962286461,286,Get All Events,200,OK,Moderate Load Test 1-7,text,true,,2825,392,2,2,http://localhost:8080/api/events,286,0,0
1752962286364,384,Get Seat Map By ID,200,OK,Moderate Load Test 1-6,text,true,,3862,431,2,2,http://localhost:8080/api/bookings/event/68742e8626a419aac9543576/seats,384,0,0
1752962286747,102,Get User Info,200,OK,Moderate Load Test 1-7,text,true,,1210,393,2,2,http://localhost:8080/api/auth/me,102,0,0
1752962286749,192,Get All Events Of A Organizer By Organization ID,200,OK,Moderate Load Test 1-6,text,true,,3026,427,2,2,http://localhost:8080/api/events/organizer/686446f860321a29820ee994,192,0,0
1752962286849,288,Get My Bookings,200,OK,Moderate Load Test 1-7,text,true,,6591,397,1,1,http://localhost:8080/api/bookings/my,288,0,0
1752962287137,425,Get Event Details By ID,200,OK,Moderate Load Test 1-7,text,true,,1899,417,2,2,http://localhost:8080/api/events/68742e8626a419aac9543576,425,0,0
1752962287260,436,Login Request,200,OK,Moderate Load Test 1-8,text,true,,1428,242,2,2,http://localhost:8080/api/auth/signin,435,0,0
1752962287562,388,Get Seat Map By ID,200,OK,Moderate Load Test 1-7,text,true,,3862,431,2,2,http://localhost:8080/api/bookings/event/68742e8626a419aac9543576/seats,388,0,0
1752962287696,288,Get All Events,200,OK,Moderate Load Test 1-8,text,true,,2825,392,2,2,http://localhost:8080/api/events,288,0,0
1752962287984,98,Get User Info,200,OK,Moderate Load Test 1-8,text,true,,1210,393,2,2,http://localhost:8080/api/auth/me,98,0,0
1752962287951,194,Get All Events Of A Organizer By Organization ID,200,OK,Moderate Load Test 1-7,text,true,,3026,427,2,2,http://localhost:8080/api/events/organizer/686446f860321a29820ee994,194,0,0
1752962288082,291,Get My Bookings,200,OK,Moderate Load Test 1-8,text,true,,6591,397,1,1,http://localhost:8080/api/bookings/my,291,0,0
1752962288374,491,Get Event Details By ID,200,OK,Moderate Load Test 1-8,text,true,,1899,417,2,2,http://localhost:8080/api/events/68742e8626a419aac9543576,491,0,0
1752962288462,422,Login Request,200,OK,Moderate Load Test 1-9,text,true,,1428,242,2,2,http://localhost:8080/api/auth/signin,422,0,2
1752962288884,285,Get All Events,200,OK,Moderate Load Test 1-9,text,true,,2825,392,2,2,http://localhost:8080/api/events,285,0,0
1752962288865,306,Get Seat Map By ID,200,OK,Moderate Load Test 1-8,text,true,,3862,431,2,2,http://localhost:8080/api/bookings/event/68742e8626a419aac9543576/seats,306,0,0
1752962289169,101,Get User Info,200,OK,Moderate Load Test 1-9,text,true,,1210,393,2,2,http://localhost:8080/api/auth/me,101,0,0
1752962289172,196,Get All Events Of A Organizer By Organization ID,200,OK,Moderate Load Test 1-8,text,true,,3026,427,2,2,http://localhost:8080/api/events/organizer/686446f860321a29820ee994,196,0,0
1752962289271,293,Get My Bookings,200,OK,Moderate Load Test 1-9,text,true,,6591,397,1,1,http://localhost:8080/api/bookings/my,293,0,0
1752962289565,401,Get Event Details By ID,200,OK,Moderate Load Test 1-9,text,true,,1899,417,2,2,http://localhost:8080/api/events/68742e8626a419aac9543576,401,0,0
1752962289660,439,Login Request,200,OK,Moderate Load Test 1-10,text,true,,1428,242,2,2,http://localhost:8080/api/auth/signin,439,0,1
1752962289965,386,Get Seat Map By ID,200,OK,Moderate Load Test 1-9,text,true,,3862,431,2,2,http://localhost:8080/api/bookings/event/68742e8626a419aac9543576/seats,386,0,0
1752962290099,281,Get All Events,200,OK,Moderate Load Test 1-10,text,true,,2825,392,2,2,http://localhost:8080/api/events,281,0,0
1752962290380,98,Get User Info,200,OK,Moderate Load Test 1-10,text,true,,1210,393,2,2,http://localhost:8080/api/auth/me,98,0,0
1752962290352,192,Get All Events Of A Organizer By Organization ID,200,OK,Moderate Load Test 1-9,text,true,,3026,427,2,2,http://localhost:8080/api/events/organizer/686446f860321a29820ee994,192,0,0
1752962290478,284,Get My Bookings,200,OK,Moderate Load Test 1-10,text,true,,6591,397,1,1,http://localhost:8080/api/bookings/my,284,0,0
1752962290762,399,Get Event Details By ID,200,OK,Moderate Load Test 1-10,text,true,,1899,417,2,2,http://localhost:8080/api/events/68742e8626a419aac9543576,399,0,0
1752962290861,376,Login Request,200,OK,Moderate Load Test 1-11,text,true,,1428,242,2,2,http://localhost:8080/api/auth/signin,376,0,1
1752962291161,361,Get Seat Map By ID,200,OK,Moderate Load Test 1-10,text,true,,3862,431,2,2,http://localhost:8080/api/bookings/event/68742e8626a419aac9543576/seats,361,0,0
1752962291238,287,Get All Events,200,OK,Moderate Load Test 1-11,text,true,,2825,392,2,2,http://localhost:8080/api/events,287,0,0
1752962291525,103,Get User Info,200,OK,Moderate Load Test 1-11,text,true,,1210,393,2,2,http://localhost:8080/api/auth/me,103,0,0
1752962291522,199,Get All Events Of A Organizer By Organization ID,200,OK,Moderate Load Test 1-10,text,true,,3026,427,2,2,http://localhost:8080/api/events/organizer/686446f860321a29820ee994,199,0,0
1752962291628,289,Get My Bookings,200,OK,Moderate Load Test 1-11,text,true,,6591,397,1,1,http://localhost:8080/api/bookings/my,289,0,0
1752962291917,444,Get Event Details By ID,200,OK,Moderate Load Test 1-11,text,true,,1899,417,2,2,http://localhost:8080/api/events/68742e8626a419aac9543576,444,0,0
1752962292059,378,Login Request,200,OK,Moderate Load Test 1-12,text,true,,1428,242,2,2,http://localhost:8080/api/auth/signin,378,0,1
1752962292362,360,Get Seat Map By ID,200,OK,Moderate Load Test 1-11,text,true,,3862,431,2,2,http://localhost:8080/api/bookings/event/68742e8626a419aac9543576/seats,360,0,0
1752962292437,288,Get All Events,200,OK,Moderate Load Test 1-12,text,true,,2825,392,2,2,http://localhost:8080/api/events,288,0,0
1752962292725,101,Get User Info,200,OK,Moderate Load Test 1-12,text,true,,1210,393,2,2,http://localhost:8080/api/auth/me,101,0,0
1752962292723,195,Get All Events Of A Organizer By Organization ID,200,OK,Moderate Load Test 1-11,text,true,,3026,427,2,2,http://localhost:8080/api/events/organizer/686446f860321a29820ee994,195,0,0
1752962292826,284,Get My Bookings,200,OK,Moderate Load Test 1-12,text,true,,6591,397,1,1,http://localhost:8080/api/bookings/my,284,0,0
1752962293111,450,Get Event Details By ID,200,OK,Moderate Load Test 1-12,text,true,,1899,417,2,2,http://localhost:8080/api/events/68742e8626a419aac9543576,450,0,0
1752962293260,357,Login Request,200,OK,Moderate Load Test 1-13,text,true,,1428,242,2,2,http://localhost:8080/api/auth/signin,357,0,1
1752962293617,285,Get All Events,200,OK,Moderate Load Test 1-13,text,true,,2825,392,2,2,http://localhost:8080/api/events,285,0,0
1752962293561,342,Get Seat Map By ID,200,OK,Moderate Load Test 1-12,text,true,,3862,431,2,2,http://localhost:8080/api/bookings/event/68742e8626a419aac9543576/seats,342,0,0
1752962293902,105,Get User Info,200,OK,Moderate Load Test 1-13,text,true,,1210,393,2,2,http://localhost:8080/api/auth/me,105,0,0
1752962293903,197,Get All Events Of A Organizer By Organization ID,200,OK,Moderate Load Test 1-12,text,true,,3026,427,2,2,http://localhost:8080/api/events/organizer/686446f860321a29820ee994,197,0,0
1752962294007,290,Get My Bookings,200,OK,Moderate Load Test 1-13,text,true,,6591,397,1,1,http://localhost:8080/api/bookings/my,290,0,0
1752962294297,464,Get Event Details By ID,200,OK,Moderate Load Test 1-13,text,true,,1899,417,2,2,http://localhost:8080/api/events/68742e8626a419aac9543576,464,0,0
1752962294460,382,Login Request,200,OK,Moderate Load Test 1-14,text,true,,1428,242,2,2,http://localhost:8080/api/auth/signin,382,0,1
1752962294762,363,Get Seat Map By ID,200,OK,Moderate Load Test 1-13,text,true,,3862,431,2,2,http://localhost:8080/api/bookings/event/68742e8626a419aac9543576/seats,363,0,0
1752962294843,283,Get All Events,200,OK,Moderate Load Test 1-14,text,true,,2825,392,2,2,http://localhost:8080/api/events,283,0,0
1752962295126,100,Get User Info,200,OK,Moderate Load Test 1-14,text,true,,1210,393,2,2,http://localhost:8080/api/auth/me,100,0,0
1752962295125,194,Get All Events Of A Organizer By Organization ID,200,OK,Moderate Load Test 1-13,text,true,,3026,427,2,2,http://localhost:8080/api/events/organizer/686446f860321a29820ee994,194,0,0
1752962295226,290,Get My Bookings,200,OK,Moderate Load Test 1-14,text,true,,6591,397,1,1,http://localhost:8080/api/bookings/my,290,0,0
1752962295516,442,Get Event Details By ID,200,OK,Moderate Load Test 1-14,text,true,,1899,417,2,2,http://localhost:8080/api/events/68742e8626a419aac9543576,442,0,0
1752962295660,397,Login Request,200,OK,Moderate Load Test 1-15,text,true,,1428,242,2,2,http://localhost:8080/api/auth/signin,397,0,1
1752962295958,385,Get Seat Map By ID,200,OK,Moderate Load Test 1-14,text,true,,3862,431,2,2,http://localhost:8080/api/bookings/event/68742e8626a419aac9543576/seats,385,0,0
1752962296057,289,Get All Events,200,OK,Moderate Load Test 1-15,text,true,,2825,392,2,2,http://localhost:8080/api/events,289,0,0
1752962296346,103,Get User Info,200,OK,Moderate Load Test 1-15,text,true,,1210,393,2,2,http://localhost:8080/api/auth/me,103,0,0
1752962296344,198,Get All Events Of A Organizer By Organization ID,200,OK,Moderate Load Test 1-14,text,true,,3026,427,2,2,http://localhost:8080/api/events/organizer/686446f860321a29820ee994,198,0,0
1752962296450,286,Get My Bookings,200,OK,Moderate Load Test 1-15,text,true,,6591,397,1,1,http://localhost:8080/api/bookings/my,285,0,0
1752962296736,432,Get Event Details By ID,200,OK,Moderate Load Test 1-15,text,true,,1899,417,2,2,http://localhost:8080/api/events/68742e8626a419aac9543576,431,0,0
1752962296866,391,Login Request,200,OK,Moderate Load Test 1-16,text,true,,1428,242,2,2,http://localhost:8080/api/auth/signin,390,0,1
1752962297257,286,Get All Events,200,OK,Moderate Load Test 1-16,text,true,,2825,392,2,2,http://localhost:8080/api/events,286,0,0
1752962297168,379,Get Seat Map By ID,200,OK,Moderate Load Test 1-15,text,true,,3862,431,2,2,http://localhost:8080/api/bookings/event/68742e8626a419aac9543576/seats,379,0,0
1752962297543,108,Get User Info,200,OK,Moderate Load Test 1-16,text,true,,1210,393,2,2,http://localhost:8080/api/auth/me,108,0,0
1752962297548,194,Get All Events Of A Organizer By Organization ID,200,OK,Moderate Load Test 1-15,text,true,,3026,427,2,2,http://localhost:8080/api/events/organizer/686446f860321a29820ee994,194,0,0
1752962297652,287,Get My Bookings,200,OK,Moderate Load Test 1-16,text,true,,6591,397,1,1,http://localhost:8080/api/bookings/my,287,0,0
1752962297940,422,Get Event Details By ID,200,OK,Moderate Load Test 1-16,text,true,,1899,417,2,2,http://localhost:8080/api/events/68742e8626a419aac9543576,422,0,0
1752962298062,386,Login Request,200,OK,Moderate Load Test 1-17,text,true,,1428,242,2,2,http://localhost:8080/api/auth/signin,386,0,2
1752962298448,285,Get All Events,200,OK,Moderate Load Test 1-17,text,true,,2825,392,2,2,http://localhost:8080/api/events,285,0,0
1752962298362,373,Get Seat Map By ID,200,OK,Moderate Load Test 1-16,text,true,,3862,431,2,2,http://localhost:8080/api/bookings/event/68742e8626a419aac9543576/seats,373,0,0
1752962298733,97,Get User Info,200,OK,Moderate Load Test 1-17,text,true,,1210,393,2,2,http://localhost:8080/api/auth/me,97,0,0
1752962298735,195,Get All Events Of A Organizer By Organization ID,200,OK,Moderate Load Test 1-16,text,true,,3026,427,2,2,http://localhost:8080/api/events/organizer/686446f860321a29820ee994,195,0,0
1752962298831,292,Get My Bookings,200,OK,Moderate Load Test 1-17,text,true,,6591,397,1,1,http://localhost:8080/api/bookings/my,292,0,0
1752962299123,442,Get Event Details By ID,200,OK,Moderate Load Test 1-17,text,true,,1899,417,2,2,http://localhost:8080/api/events/68742e8626a419aac9543576,442,0,0
1752962299261,401,Login Request,200,OK,Moderate Load Test 1-18,text,true,,1428,242,2,2,http://localhost:8080/api/auth/signin,401,0,2
1752962299565,381,Get Seat Map By ID,200,OK,Moderate Load Test 1-17,text,true,,3862,431,2,2,http://localhost:8080/api/bookings/event/68742e8626a419aac9543576/seats,381,0,0
1752962299662,284,Get All Events,200,OK,Moderate Load Test 1-18,text,true,,2825,392,2,2,http://localhost:8080/api/events,284,0,0
1752962299946,96,Get User Info,200,OK,Moderate Load Test 1-18,text,true,,1210,393,2,2,http://localhost:8080/api/auth/me,96,0,0
1752962299945,191,Get All Events Of A Organizer By Organization ID,200,OK,Moderate Load Test 1-17,text,true,,3026,427,2,2,http://localhost:8080/api/events/organizer/686446f860321a29820ee994,191,0,0
1752962300043,290,Get My Bookings,200,OK,Moderate Load Test 1-18,text,true,,6591,397,1,1,http://localhost:8080/api/bookings/my,290,0,0
1752962300334,427,Get Event Details By ID,200,OK,Moderate Load Test 1-18,text,true,,1899,417,2,2,http://localhost:8080/api/events/68742e8626a419aac9543576,427,0,0
1752962300460,416,Login Request,200,OK,Moderate Load Test 1-19,text,true,,1428,242,2,2,http://localhost:8080/api/auth/signin,416,0,1
1752962300761,395,Get Seat Map By ID,200,OK,Moderate Load Test 1-18,text,true,,3862,431,2,2,http://localhost:8080/api/bookings/event/68742e8626a419aac9543576/seats,395,0,0
1752962300876,284,Get All Events,200,OK,Moderate Load Test 1-19,text,true,,2825,392,2,2,http://localhost:8080/api/events,284,0,0
1752962301160,102,Get User Info,200,OK,Moderate Load Test 1-19,text,true,,1210,393,2,2,http://localhost:8080/api/auth/me,102,0,0
1752962301157,202,Get All Events Of A Organizer By Organization ID,200,OK,Moderate Load Test 1-18,text,true,,3026,427,2,2,http://localhost:8080/api/events/organizer/686446f860321a29820ee994,202,0,0
1752962301262,285,Get My Bookings,200,OK,Moderate Load Test 1-19,text,true,,6591,397,1,1,http://localhost:8080/api/bookings/my,285,0,0
1752962301548,411,Get Event Details By ID,200,OK,Moderate Load Test 1-19,text,true,,1899,417,2,2,http://localhost:8080/api/events/68742e8626a419aac9543576,411,0,0
1752962301659,417,Login Request,200,OK,Moderate Load Test 1-20,text,true,,1428,242,2,2,http://localhost:8080/api/auth/signin,417,0,1
1752962301960,391,Get Seat Map By ID,200,OK,Moderate Load Test 1-19,text,true,,3862,431,2,2,http://localhost:8080/api/bookings/event/68742e8626a419aac9543576/seats,391,0,0
1752962302076,278,Get All Events,200,OK,Moderate Load Test 1-20,text,true,,2825,392,2,2,http://localhost:8080/api/events,278,0,0
1752962302354,102,Get User Info,200,OK,Moderate Load Test 1-20,text,true,,1210,393,2,2,http://localhost:8080/api/auth/me,102,0,0
1752962302352,193,Get All Events Of A Organizer By Organization ID,200,OK,Moderate Load Test 1-19,text,true,,3026,427,2,2,http://localhost:8080/api/events/organizer/686446f860321a29820ee994,193,0,0
1752962302456,287,Get My Bookings,200,OK,Moderate Load Test 1-20,text,true,,6591,397,1,1,http://localhost:8080/api/bookings/my,287,0,0
1752962302743,418,Get Event Details By ID,200,OK,Moderate Load Test 1-20,text,true,,1899,417,2,2,http://localhost:8080/api/events/68742e8626a419aac9543576,418,0,0
1752962302860,378,Login Request,200,OK,Moderate Load Test 1-21,text,true,,1428,242,2,2,http://localhost:8080/api/auth/signin,378,0,2
1752962303239,290,Get All Events,200,OK,Moderate Load Test 1-21,text,true,,2825,392,2,2,http://localhost:8080/api/events,290,0,0
1752962303161,371,Get Seat Map By ID,200,OK,Moderate Load Test 1-20,text,true,,3862,431,2,2,http://localhost:8080/api/bookings/event/68742e8626a419aac9543576/seats,371,0,0
1752962303530,103,Get User Info,200,OK,Moderate Load Test 1-21,text,true,,1210,393,2,2,http://localhost:8080/api/auth/me,103,0,0
1752962303532,193,Get All Events Of A Organizer By Organization ID,200,OK,Moderate Load Test 1-20,text,true,,3026,427,2,2,http://localhost:8080/api/events/organizer/686446f860321a29820ee994,193,0,0
1752962303633,289,Get My Bookings,200,OK,Moderate Load Test 1-21,text,true,,6591,397,1,1,http://localhost:8080/api/bookings/my,289,0,0
1752962303922,441,Get Event Details By ID,200,OK,Moderate Load Test 1-21,text,true,,1899,417,2,2,http://localhost:8080/api/events/68742e8626a419aac9543576,441,0,0
1752962304060,387,Login Request,200,OK,Moderate Load Test 1-22,text,true,,1428,242,2,2,http://localhost:8080/api/auth/signin,387,0,2
1752962304448,283,Get All Events,200,OK,Moderate Load Test 1-22,text,true,,2825,392,2,2,http://localhost:8080/api/events,283,0,0
1752962304364,369,Get Seat Map By ID,200,OK,Moderate Load Test 1-21,text,true,,3862,431,2,2,http://localhost:8080/api/bookings/event/68742e8626a419aac9543576/seats,369,0,0
1752962304732,100,Get User Info,200,OK,Moderate Load Test 1-22,text,true,,1210,393,2,2,http://localhost:8080/api/auth/me,100,0,0
1752962304734,192,Get All Events Of A Organizer By Organization ID,200,OK,Moderate Load Test 1-21,text,true,,3026,427,2,2,http://localhost:8080/api/events/organizer/686446f860321a29820ee994,192,0,0
1752962304833,282,Get My Bookings,200,OK,Moderate Load Test 1-22,text,true,,6591,397,1,1,http://localhost:8080/api/bookings/my,282,0,0
1752962305116,447,Get Event Details By ID,200,OK,Moderate Load Test 1-22,text,true,,1899,417,2,2,http://localhost:8080/api/events/68742e8626a419aac9543576,447,0,0
1752962305260,427,Login Request,200,OK,Moderate Load Test 1-23,text,true,,1428,242,2,2,http://localhost:8080/api/auth/signin,427,0,1
1752962305563,394,Get Seat Map By ID,200,OK,Moderate Load Test 1-22,text,true,,3862,431,2,2,http://localhost:8080/api/bookings/event/68742e8626a419aac9543576/seats,394,0,0
1752962305687,290,Get All Events,200,OK,Moderate Load Test 1-23,text,true,,2825,392,2,2,http://localhost:8080/api/events,290,0,0
1752962305977,100,Get User Info,200,OK,Moderate Load Test 1-23,text,true,,1210,393,2,2,http://localhost:8080/api/auth/me,100,0,0
1752962305957,191,Get All Events Of A Organizer By Organization ID,200,OK,Moderate Load Test 1-22,text,true,,3026,427,2,2,http://localhost:8080/api/events/organizer/686446f860321a29820ee994,191,0,0
1752962306077,288,Get My Bookings,200,OK,Moderate Load Test 1-23,text,true,,6591,397,1,1,http://localhost:8080/api/bookings/my,288,0,0
1752962306366,399,Get Event Details By ID,200,OK,Moderate Load Test 1-23,text,true,,1899,417,2,2,http://localhost:8080/api/events/68742e8626a419aac9543576,399,0,0
1752962306462,388,Login Request,200,OK,Moderate Load Test 1-24,text,true,,1428,242,2,2,http://localhost:8080/api/auth/signin,388,0,1
1752962306766,363,Get Seat Map By ID,200,OK,Moderate Load Test 1-23,text,true,,3862,431,2,2,http://localhost:8080/api/bookings/event/68742e8626a419aac9543576/seats,363,0,0
1752962306850,280,Get All Events,200,OK,Moderate Load Test 1-24,text,true,,2825,392,2,2,http://localhost:8080/api/events,280,0,0
1752962307130,98,Get User Info,200,OK,Moderate Load Test 1-24,text,true,,1210,393,2,2,http://localhost:8080/api/auth/me,98,0,0
1752962307129,191,Get All Events Of A Organizer By Organization ID,200,OK,Moderate Load Test 1-23,text,true,,3026,427,2,2,http://localhost:8080/api/events/organizer/686446f860321a29820ee994,191,0,0
1752962307228,290,Get My Bookings,200,OK,Moderate Load Test 1-24,text,true,,6591,397,1,1,http://localhost:8080/api/bookings/my,290,0,0
1752962307518,450,Get Event Details By ID,200,OK,Moderate Load Test 1-24,text,true,,1899,417,2,2,http://localhost:8080/api/events/68742e8626a419aac9543576,450,0,0
1752962307662,415,Login Request,200,OK,Moderate Load Test 1-25,text,true,,1428,242,2,2,http://localhost:8080/api/auth/signin,415,0,2
1752962307968,388,Get Seat Map By ID,200,OK,Moderate Load Test 1-24,text,true,,3862,431,2,2,http://localhost:8080/api/bookings/event/68742e8626a419aac9543576/seats,388,0,0
1752962308077,284,Get All Events,200,OK,Moderate Load Test 1-25,text,true,,2825,392,2,2,http://localhost:8080/api/events,284,0,0
1752962308361,94,Get User Info,200,OK,Moderate Load Test 1-25,text,true,,1210,393,2,2,http://localhost:8080/api/auth/me,94,0,0
1752962308357,191,Get All Events Of A Organizer By Organization ID,200,OK,Moderate Load Test 1-24,text,true,,3026,427,2,2,http://localhost:8080/api/events/organizer/686446f860321a29820ee994,191,0,0
1752962308455,289,Get My Bookings,200,OK,Moderate Load Test 1-25,text,true,,6591,397,1,1,http://localhost:8080/api/bookings/my,288,0,0
1752962308744,414,Get Event Details By ID,200,OK,Moderate Load Test 1-25,text,true,,1899,417,2,2,http://localhost:8080/api/events/68742e8626a419aac9543576,414,0,0
1752962308860,433,Login Request,200,OK,Moderate Load Test 1-26,text,true,,1428,242,2,2,http://localhost:8080/api/auth/signin,433,0,1
1752962309158,391,Get Seat Map By ID,200,OK,Moderate Load Test 1-25,text,true,,3862,431,2,2,http://localhost:8080/api/bookings/event/68742e8626a419aac9543576/seats,390,0,0
1752962309293,290,Get All Events,200,OK,Moderate Load Test 1-26,text,true,,2825,392,2,2,http://localhost:8080/api/events,289,0,0
1752962309583,101,Get User Info,200,OK,Moderate Load Test 1-26,text,true,,1210,393,2,2,http://localhost:8080/api/auth/me,101,0,0
1752962309549,190,Get All Events Of A Organizer By Organization ID,200,OK,Moderate Load Test 1-25,text,true,,3026,427,2,2,http://localhost:8080/api/events/organizer/686446f860321a29820ee994,190,0,0
1752962309684,286,Get My Bookings,200,OK,Moderate Load Test 1-26,text,true,,6591,397,1,1,http://localhost:8080/api/bookings/my,286,0,0
